FID,Join_Count,TARGET_FID,objectid,statecode,statename,state_ut,distcode,distname,distarea,totalpopul,totalhh,totpopmale,totpopfema,st_areasha,st_lengths,pointid,grid_code
0,5391,0,1,05,Uttarakhand,STATE,066,Nainital,4251,954605,191383,493666,460939,5322546065,506182.696,384202,64.35939789
1,4175,1,2,05,Uttarakhand,STATE,060,Dehradun,3088,1696694,347001,892199,804495,4177235502,578188.6816,251916,43.8708992
2,4171,2,3,05,Uttarakhand,STATE,064,Almora,3144,622506,140577,291081,331425,4140751141,463454.2258,346453,43.89199829
3,2323,3,4,05,Uttarakhand,STATE,065,Champawat,1766,259648,53953,131125,128523,2294297184,314508.0106,393694,52.83879852
4,10785,4,5,05,Uttarakhand,STATE,056,Uttarkashi,8016,330086,67602,168597,161489,10851662987,786425.589,221043,22.75839996
5,7114,5,6,05,Uttarakhand,STATE,061,Garhwal,5329,687271,161778,326829,360442,7059351932,481276.4404,317604,47.06919861
6,3093,6,7,05,Uttarakhand,STATE,068,Hardwar,2360,1890422,338104,1005295,885127,3073415497,335407.0048,319189,75.95960236
7,2620,7,8,05,Uttarakhand,STATE,058,Rudraprayag,1984,242285,53542,114589,127696,2616931451,284252.2365,266722,31.42650032
8,5297,8,9,05,Uttarakhand,STATE,059,Tehri Garhwal,3642,618931,132714,297986,320945,5288144934,636391.9214,261199,30.98819923
9,3053,9,10,05,Uttarakhand,STATE,063,Bageshwar,2241,259898,58046,124326,135572,3040127187,363633.0404,311857,31.19029999
10,9551,10,11,05,Uttarakhand,STATE,062,Pithoragarh,7090,483439,114730,239306,244133,9526095144,722224.4072,266850,20.85820007
11,10634,11,12,05,Uttarakhand,STATE,057,Chamoli,8030,391605,88964,193991,197614,10635391810,604805.9337,246747,26.15880013
12,3412,12,13,05,Uttarakhand,STATE,067,Udham Singh Nagar,2542,1648902,308581,858783,790119,3341594516,656833.424,410008,68.19419861
13,8994,13,14,02,Himachal Pradesh,STATE,023,Chamba,6522,519080,102460,261320,257760,9185591684,629217.851,112403,24.68910027
14,7029,14,15,02,Himachal Pradesh,STATE,033,Shimla,5131,814010,184362,425039,388971,7083558226,621576.6695,204773,29.21080017
15,1593,15,16,02,Himachal Pradesh,STATE,030,Bilaspur,1167,381956,80485,192764,189192,1607588687,256604.2174,211771,49.19039917
16,7840,16,17,02,Himachal Pradesh,STATE,024,Kangra,5739,1510075,338887,750591,759484,7979085247,617681.6755,164842,23.28019905
17,19047,17,18,02,Himachal Pradesh,STATE,025,Lahul & Spiti,13841,31564,6674,16588,14976,19492308299,1047643.044,108772,23.59869957
18,2114,18,19,02,Himachal Pradesh,STATE,029,Una,1540,521173,110332,263692,257481,2129811006,254331.6305,195548,46.1894989
19,2637,19,20,02,Himachal Pradesh,STATE,031,Solan,1936,580320,122425,308754,271566,2648305390,338067.6326,226044,39.64599991
20,3841,20,21,02,Himachal Pradesh,STATE,032,Sirmaur,2825,529855,98208,276289,253566,3844045545,402405.0592,250049,38.56340027
21,8770,21,22,02,Himachal Pradesh,STATE,034,Kinnaur,6401,84121,19976,46249,37872,8962850808,564893.9842,183930,19.15730095
22,5422,22,23,02,Himachal Pradesh,STATE,027,Mandi,3950,999777,219145,498065,501712,5471953521,365784.1522,183705,33.48160172
23,7570,23,24,02,Himachal Pradesh,STATE,026,Kullu,5503,437903,94807,225452,212451,7668474793,460006.0525,167530,22.58270073
24,5829,24,114,23,Madhya Pradesh,STATE,420,Bhind,4459,1703005,299233,926843,776162,5599560037,647870.9563,960304,87.02500153
25,4394,25,115,23,Madhya Pradesh,STATE,464,Jhabua,3600,1025048,194157,515023,510025,4109222044,357207.7935,2091996,35.25970078
26,10920,26,116,23,Madhya Pradesh,STATE,456,Seoni,8758,1379131,314767,695879,683252,10151109397,773009.5996,2182461,37.1169014
27,9506,27,117,23,Madhya Pradesh,STATE,466,Khandwa (East Nimar),7352,1310061,266655,674329,635732,8815835623,654182.4539,2335828,49.76200104
28,5827,28,118,23,Madhya Pradesh,STATE,431,Umaria,4076,644758,145024,330674,314084,5463697368,502430.2581,1819606,36.34339905
29,1536,29,25,02,Himachal Pradesh,STATE,028,Hamirpur,1118,454768,105519,217070,237698,1555925772,206144.015,194125,34.10889816
30,3848,30,27,01,Jammu & Kashmir,STATE,014,Anantnag,3574,1078692,153640,559767,518925,3984677613,406722.877,41398,48.02590179
31,2749,31,28,01,Jammu & Kashmir,STATE,008,Baramula,4243,1008039,152635,534733,473306,2862769251,341439.8381,32200,53.04460144
32,1677,32,29,01,Jammu & Kashmir,STATE,015,Kulgam,410,424483,73728,217620,206863,1733604877,314935.7933,70798,51.52280045
33,631,33,30,01,Jammu & Kashmir,STATE,013,Shupiyan,312,266215,44411,136480,129735,656072456.2,184121.2697,71937,51.2867012
34,2916,34,31,01,Jammu & Kashmir,STATE,020,Reasi,1719,314667,56689,166461,148206,2999405912,364442.9202,92345,43.36289978
35,3445,35,32,01,Jammu & Kashmir,STATE,006,Rajouri,2630,642415,130401,345351,297064,3584822783,345780.8562,89508,42.9408989
36,2882,36,33,01,Jammu & Kashmir,STATE,021,Jammu,2342,1529958,314199,813821,716137,2976049708,506794.8377,124746,43.42419815
37,720,37,35,01,Jammu & Kashmir,STATE,010,Srinagar,1979,1236829,191678,651124,585705,749360920.7,176791.125,45553,55.64569855
38,2774,38,36,01,Jammu & Kashmir,STATE,005,Punch,1674,476835,90261,251899,224936,2877241713,324570.4892,60353,49.24950027
39,3977,39,37,01,Jammu & Kashmir,STATE,001,Kupwara,2379,870354,113929,474190,396164,4181579916,342158.0028,8367,50.46110153
40,1148,40,38,01,Jammu & Kashmir,STATE,022,Samba,904,318898,65385,169124,149774,1176454840,247984.5002,142277,45.38750076
41,4211,41,39,01,Jammu & Kashmir,STATE,009,Bandipore,345,392232,58392,207680,184552,4400529879,449556.2863,8394,56.82279968
42,3758,42,40,01,Jammu & Kashmir,STATE,007,Kathua,2502,616435,119583,326109,290326,3837460425,345297.2349,135152,35.81600189
43,11060,43,42,01,Jammu & Kashmir,STATE,018,Kishtwar,1644,230696,45209,120165,110531,11422604763,629349.1051,43246,39.00960159
44,5296,44,43,24,Gujarat,STATE,472,Sabar Kantha,7394,2428589,481414,1244231,1184358,4992212111,603103.1197,1697585,49.37369919
45,13645,45,44,24,Gujarat,STATE,469,Banas Kantha,10743,3120506,560411,1610379,1510127,12877587783,876542.2415,1637127,53.11000061
46,11653,46,45,24,Gujarat,STATE,475,Surendranagar,10423,1756268,343213,909917,846351,10875599675,938543.3859,1999680,39.2179985
47,3549,47,46,24,Gujarat,STATE,482,Anand,3204,2092745,427605,1087224,1005521,3304571210,374182.6015,2243643,33.02099991
48,3538,48,47,24,Gujarat,STATE,487,Narmada,2817,590297,122174,301086,289211,3280261720,397204.7224,2433123,32.20149994
49,9202,49,48,24,Gujarat,STATE,480,Amreli,7397,1514190,294837,771049,743141,8531643156,699638.1509,2442412,34.83330154
50,4620,50,49,24,Gujarat,STATE,485,Dohad,3642,2127086,334272,1068651,1058435,4305609583,400927.9487,2063307,37.04050064
51,3281,51,50,01,Jammu & Kashmir,STATE,016,Doda,8912,409936,79636,213641,196295,3369587739,310667.3078,99206,40.68249893
52,1162,52,51,01,Jammu & Kashmir,STATE,012,Pulwama,1086,560440,86241,293064,267376,1205227252,213364.3681,53233,59.2867012
53,5235,53,52,24,Gujarat,STATE,486,Vadodara,7546,4165626,877106,2153736,2011890,4881354285,529369.6208,2222680,31.65780067
54,4160,54,53,24,Gujarat,STATE,#N/A,Aravali,0,0,0,0,0,3897128995,432209.4626,1878893,40.82960129
